"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.442386511710503,-0.101493278122665,0.388,0.417,1,"Th2","MB21D1"
0.458498650603058,-0.201407248767937,0.272,0.287,1,"Th2","TAGAP"
0.466536429964578,-0.102490828402003,0.971,0.971,1,"Th2","IFITM2"
0.476736259074402,-0.141116123347173,0.529,0.533,1,"Th2","TNFRSF4"
0.511489557793778,-0.653188541933761,0.476,0.418,1,"Th2","TIMP1"
0.523524590481103,-0.112633975445961,0.947,0.931,1,"Th2","MTHFD2"
0.531336555213473,-0.113108100567265,0.272,0.282,1,"Th2","KIF2C"
0.540911976882524,-0.105017510212161,0.99,0.992,1,"Th2","PABPC1"
0.569396113871889,-0.108797790415019,0.597,0.628,1,"Th2","REL"
0.587583321617728,-0.108260139651645,0.578,0.568,1,"Th2","NUDT4"
0.63670509084846,-0.106634584178096,0.68,0.661,1,"Th2","TRIM38"
0.672974331903207,0.202477956548641,0.854,0.851,1,"Th2","HIST1H4C"
0.677456087561919,-0.132885102213131,0.68,0.64,1,"Th2","CKS2"
0.702478253899151,0.110339066064802,0.097,0.106,1,"Th2","CCL3"
0.726432242156296,0.113778823759445,0.243,0.238,1,"Th2","SESN3"
0.755452723508545,-0.118240624734806,0.485,0.485,1,"Th2","TUBB4B"
0.774846286156393,-0.11405095753097,0.296,0.277,1,"Th2","AURKA"
0.852699713495504,0.140346235412676,0.422,0.442,1,"Th2","BTG2"
0.862870821267103,-0.108070014377292,0.379,0.368,1,"Th2","ANXA1"
4.1042007675968e-31,0.717949561168333,0.481,0.101,5.3001648712745e-27,"Th0","PTGER2"
1.88021220620119e-27,1.07271458616302,0.931,0.626,2.42810604308822e-23,"Th0","PLAC8"
3.41768133320102e-25,0.428435498085619,0.534,0.152,4.4135936736958e-21,"Th0","DPP4"
6.65494677000246e-24,-1.64700771576738,0.626,0.883,8.59419825878117e-20,"Th0","RGCC"
8.00154779926106e-23,0.682756517651418,0.809,0.422,1.03331988279657e-18,"Th0","XAF1"
7.82397915242943e-22,-0.822955389789399,0.817,0.929,1.01038866774474e-17,"Th0","PLP2"
2.07102983889912e-19,0.418702670737148,0.55,0.199,2.67452793395433e-15,"Th0","GPRIN3"
2.25195256709998e-19,0.872336834980191,0.748,0.418,2.90817154515291e-15,"Th0","SYNE2"
1.24606560757695e-18,0.627080818749074,0.977,0.872,1.60916912562487e-14,"Th0","CD48"
1.93263389061935e-17,0.615467441148483,0.855,0.613,2.49580340634583e-13,"Th0","WIPF1"
2.35258889431425e-17,0.266933991436246,0.313,0.072,3.03813329811742e-13,"Th0","MYO1F"
5.83693945602264e-17,0.296336665537211,0.359,0.099,7.53782361350764e-13,"Th0","SMAD3"
9.57390778319262e-17,0.540923189517646,1,0.971,1.23637445112149e-12,"Th0","PTPRC"
4.08629037833183e-16,-0.740235611870496,0.725,0.91,5.27703539457772e-12,"Th0","JAML"
1.18409683253516e-15,1.08323073829957,0.977,0.969,1.5291426495359e-11,"Th0","IL32"
2.17305821753361e-15,0.587498341802824,0.786,0.476,2.8062873821229e-11,"Th0","SAMD9"
4.74276665810372e-15,0.44496176312727,0.618,0.283,6.12480886227514e-11,"Th0","ATM"
5.47889712506608e-15,0.406800999540236,0.481,0.182,7.07544774731034e-11,"Th0","SAMHD1"
7.97923249689258e-15,0.859922634736606,0.969,0.907,1.03043808464871e-10,"Th0","STAT1"
9.98495368828818e-15,0.551777156112798,0.954,0.8,1.28945691930554e-10,"Th0","EPSTI1"
1.72147056513504e-14,-0.558546915361364,0.191,0.534,2.22310708781539e-10,"Th0","DIXDC1"
4.61340538094915e-14,0.42006100703151,0.702,0.394,5.95775170895774e-10,"Th0","DDHD1"
6.32443994769826e-14,0.496744461345399,0.832,0.633,8.16738174845754e-10,"Th0","ETS1"
9.02605685460149e-14,0.497433746695875,0.969,0.777,1.16562498220324e-09,"Th0","SMCHD1"
1.08148306889433e-13,0.514789585461979,0.695,0.41,1.39662723517014e-09,"Th0","CD38"
1.18876106333455e-13,0.571887291905315,0.794,0.535,1.53516603719024e-09,"Th0","MAL"
1.42668062898019e-13,0.185736656607377,0.244,0.054,1.84241536426502e-09,"Th0","PRDM1"
1.64762132757197e-13,0.734642338895399,0.855,0.596,2.12773818242645e-09,"Th0","HIST1H1D"
2.08185478596453e-13,0.360584349671957,0.55,0.253,2.68850727059459e-09,"Th0","ARAP2"
2.20621386080684e-13,0.737437786978972,0.832,0.596,2.84910457984595e-09,"Th0","TNFSF10"
2.47140890361593e-13,0.530962761375681,0.481,0.203,3.19157745812961e-09,"Th0","SESN3"
3.03592099390795e-13,0.369952218672533,0.519,0.237,3.92058837153272e-09,"Th0","MPRIP"
3.30974991213115e-13,0.627383558722896,0.809,0.602,4.27421103652616e-09,"Th0","ARL4C"
3.57222048639702e-13,0.372609504654828,0.336,0.105,4.61316553613311e-09,"Th0","LRRN3"
5.65002974261332e-13,0.642776197282403,0.687,0.418,7.29644840961085e-09,"Th0","GBP5"
6.06921831221425e-13,-0.766922844408323,0.656,0.879,7.83778852839349e-09,"Th0","ZBED2"
7.76842991633029e-13,0.481395878199046,1,1,1.00321503939489e-08,"Th0","TMSB10"
8.4777935264874e-13,0.45665204937115,0.847,0.591,1.09482225601058e-08,"Th0","PARP14"
1.31830484117524e-12,0.451458244843201,0.947,0.807,1.7024588718937e-08,"Th0","ELF1"
1.3681261288628e-12,0.470996564699235,0.794,0.503,1.76679808281341e-08,"Th0","TRAT1"
1.37592184785293e-12,-0.788537906193538,0.237,0.552,1.77686547431727e-08,"Th0","LMNA"
1.44718871931345e-12,0.239760328348562,0.313,0.096,1.86889951212139e-08,"Th0","HRH2"
1.52840436376504e-12,0.376417622385707,0.603,0.305,1.97378139536618e-08,"Th0","CASP4"
2.20245724257387e-12,0.417164136500645,0.557,0.261,2.8442532830599e-08,"Th0","CYSLTR1"
2.55422037794958e-12,0.308209464574612,0.359,0.124,3.29852019608409e-08,"Th0","CARD16"
2.62192714079957e-12,-0.722344906738139,0.832,0.923,3.38595670962856e-08,"Th0","RBPJ"
4.60672635141767e-12,0.481968926238707,0.977,0.907,5.94912641022078e-08,"Th0","GSTK1"
6.41095522708698e-12,0.587721058296738,0.74,0.496,8.27910758026012e-08,"Th0","PIK3R1"
8.49108769274487e-12,0.281685460134418,0.466,0.194,1.09653906464107e-07,"Th0","RPS6KA5"
1.41181157801466e-11,-0.567910336197996,0.947,0.977,1.82321347184813e-07,"Th0","GSTO1"
3.27372877899256e-11,-0.476817903823344,0.168,0.446,4.227693345191e-07,"Th0","AHCYL2"
3.95131722267533e-11,0.384394808596215,0.992,0.988,5.10273106136292e-07,"Th0","RPS4Y1"
4.11028838386307e-11,-0.860291949758274,0.977,0.998,5.30802641892077e-07,"Th0","S100A6"
4.70041237805436e-11,-0.706821934786802,0.954,0.98,6.07011254501939e-07,"Th0","DDIT4"
5.31213257171668e-11,0.31798867716538,0.489,0.229,6.86008800311492e-07,"Th0","LMO7"
6.09374207842591e-11,0.259567651340641,0.481,0.213,7.86945852007922e-07,"Th0","NPAT"
7.44335727870143e-11,0.287349693171426,0.45,0.209,9.61235158971502e-07,"Th0","GIMAP6"
9.64744538226435e-11,0.246776719544715,0.374,0.153,1.24587109666562e-06,"Th0","STAP1"
1.2216859177877e-10,0.524233068019134,0.916,0.802,1.57768519423104e-06,"Th0","EVL"
2.03801782712603e-10,0.337089738757769,1,1,2.63189622195056e-06,"Th0","RPS24"
2.06334421892729e-10,-0.484494717322418,0.931,0.954,2.6646027243227e-06,"Th0","TAGLN2"
2.18766139600264e-10,0.169619646853105,0.313,0.107,2.82514592679781e-06,"Th0","NEDD9"
2.30353460899937e-10,0.262568234943834,0.336,0.122,2.97478459406178e-06,"Th0","PYHIN1"
2.42854508666011e-10,0.59560881445378,0.779,0.544,3.13622312491286e-06,"Th0","SLFN5"
2.47598054191503e-10,0.410320939227171,0.893,0.696,3.19748127182906e-06,"Th0","ITM2B"
