"","group_iTreg","group_Th17","group_Th2","group_Th0"
"IL2RA",0.503135679955331,-0.246813671232365,-0.514617593781917,NA
"RGCC",0.463469639096012,0.816552663433361,-1.52971316010357,-1.64700771576738
"TRBC2",0.512474469273841,NA,-0.758188500247154,-0.114291159383212
"C4orf3",0.327672199432864,NA,-0.437902677418788,NA
"LBR",-0.384356639200775,-0.156124844290932,0.493344459449837,0.226894496248478
"TNFAIP8",0.437203458536379,NA,-0.584682974785272,-0.286402731138197
"MT-ND4",-0.311121315371913,0.132554742535176,0.169748805785852,0.283532195138056
"SDF2L1",-0.365795800783688,NA,0.479608496567252,NA
"CLK1",0.36295420336893,0.109194803550419,-0.449221367366309,-0.410800310824524
"AIMP1",0.331812525460243,-0.105470644895276,-0.154425947039859,-0.2872689973158
"PPM1K",-0.341505424316838,0.126247786723903,NA,0.299571556627894
"CNPY2",-0.311536922373169,NA,0.147635735355816,0.2633347109548
"BNIP3",0.38671427102,-0.282184513464674,-0.292570630405892,-0.379708184758303
"ITM2A",0.371248349418459,-0.317262577478135,-0.19078027077177,NA
"H3F3A",-0.521020657850221,0.139451102266887,0.297875192405454,0.231331277898014
"COX20",0.339654809229906,-0.107416438035315,-0.170799063356923,-0.276768344505542
"LPXN",0.342234044264934,-0.175926609161488,-0.230591577844866,NA
"DYNLT1",-0.353462177279444,NA,0.187093666059132,0.341070979938763
"GLIPR1",0.299722128590678,NA,-0.305773230917751,-0.174612250454051
"RAB8B",0.471791156908112,-0.450463181705616,NA,NA
"PRKDC",-0.380497059136759,NA,0.342222826529196,0.273257981746878
"DDX46",-0.333760403303624,0.105406434340929,0.198023699565974,0.13285412395148
"ADTRP",0.374023559126248,NA,-0.350842061968955,-0.365904858702634
"CLK3",0.270033615975278,-0.133300987964355,-0.177208564615068,NA
"FMNL1",0.320655657508531,-0.189090819259674,-0.22296499621832,NA
"DDIT4",0.436536616810748,0.269642874525621,-0.679111191005444,-0.706821934786802
"PCBP1",0.292711275071936,NA,-0.343248936593751,-0.106646302365632
"EIF4A2",0.302165664223419,-0.147453311032377,-0.142321183283486,-0.1490873781495
"EIF4B",-0.385385694641975,-0.114766766709183,0.46697407091511,0.200877133743402
"LGALS9",0.356673162880613,-0.11746114750972,-0.471305142756523,NA
"PPP1R14A",-0.236615344746177,-0.220797782185523,0.632675983037553,-0.166212921393397
"LINC01281",0.277157391429687,-0.155477235650906,NA,-0.160826173376782
"NELL2",0.27501227702364,NA,-0.307630023627081,-0.180683362383917
