"feature","score"
"CCT6A",-6.23752561868439
"PTPN2",6.21863150953436
"PRPF40A",-6.21766974983208
"TOR1A",-6.21496670726511
"TUBB4B",-6.18430904864337
"PSMC2",-6.17178108402016
"HN1",-6.1538891563416
"TMEM165",-6.15133147986131
"VAMP8",-6.14998927607342
"CAPN1",-6.13620314495911
"EFHD2",-6.11326805060857
"SEPT7",-6.09337426606561
"CD3G",-6.08763253667585
"GRAP2",-6.08251467095459
"URI1",-6.07412598588669
"LDHB",6.06904782194513
"GPR132",-6.06700103681354
"CD70",-6.0327717057711
"EVI2A",-6.01791203351999
"RANGAP1",-6.0125290094624
"UBA7",-5.99717424377992
"PPP1R2",-5.98821104769045
"PAQR4",-5.97941735705925
"PRDM1",5.97065562809163
"TRIP10",-5.96908704750557
"HINT1",5.96549781607012
"CD200",-5.96385206518067
"CFL1",-5.95886836538091
"TNFRSF12A",-5.95326438240946
"TAP2",-5.95270998186987
"CD164",-5.93817152935961
"KLF7",-5.93578839788882
"BAZ1A",-5.93351807616503
"WDR1",-5.91721985678889
"CHMP4B",-5.91147682949563
"DEK",-5.87871030473112
"MAL",5.87801908368984
"ERO1A",5.87404209329776
"RBM39",-5.86118882461374
"EMC7",-5.84876311541702
"ADGRE5",-5.82199135471654
"ECHS1",-5.81282521453396
"DDB2",-5.79517113139583
"PARP10",-5.7812458984469
"TIAM2",-5.76467121366268
"CD2BP2",-5.76047729069249
"EXOSC1",-5.75956106943471
"EEA1",-5.75537764603404
"PSMA5",-5.74347934328605
"EIF3F",5.72429972550994
"GGNBP2",-5.72313301715487
"UTP3",-5.7172987300064
"TCIRG1",-5.67929188699276
"SAMSN1",-5.66699801938337
"NUDC",-5.66239570132588
"PTK2",-5.65811332870332
"PMEPA1",-5.65583208247132
"IFRD1",-5.62986612720574
"MEAF6",-5.62420072431713
"MAP4",-5.62231242872692
"LGALS8",-5.602680696514
"AFAP1",-5.60177363482718
"HSPB11",-5.59448578700762
"SKP1",-5.59202567033291
"MRPL46",-5.58706752861409
"H2AFV",-5.53589431424049
"KIF5B",-5.51815587593043
"PGM2L1",-5.51709364068427
"MT-ND2",-5.49964874742216
"TNFRSF1B",5.49685305342828
"GAPDH",5.49329030760316
"IKZF1",5.48987341619471
"TRMT10C",-5.48797522495527
"RBM3",5.47613893375731
"ATF3",-5.47227025359987
"TRMT112",-5.47073031412272
"PSME3",-5.46842994376116
"UNC93B1",-5.4678367747838
"U2SURP",-5.46486421523616
"FKBP3",-5.46391065382585
"PABPC1",5.45788918284187
"LINC00869",-5.4557492710753
"C17orf62",-5.45153439958225
"RAB9A",-5.44992788888704
"SLC39A1",-5.44716297947838
"PCNX",-5.44469195884484
"ZDHHC16",-5.42688279454101
"SLC52A2",-5.40570309946566
"EED",-5.40343640313339
"CXCR4",-5.40275286688811
"LYRM1",5.3934433893546
"ETS1",5.37321660255722
"CACYBP",-5.3712639324344
"PAIP1",-5.37123625104187
"LINC00152",-5.36852063898627
"MYH9",-5.36666808703027
"CNDP2",-5.36385782050986
"R3HDM1",-5.36371133999638
"PGAM1",-5.36117185479833
"SRP54",-5.3580351916794
"REXO2",-5.34649967112324
"NENF",-5.32846250276686
"SBDS",-5.32401876223208
"NFIL3",5.32237348371304
"TMBIM1",-5.31436843389675
"CNP",-5.29375944395917
"AHCYL1",-5.28659395692259
"CTSB",-5.28336534503371
"RXRA",5.27646529716752
"TRAPPC1",-5.26857221388734
"FBL",5.25164942854323
"RPL41",5.25087443842584
"NAPA",-5.23078158710774
"EIF2S3",5.22939379750906
"SPATA13",-5.2289026520868
"HIF1A",-5.22716800973479
"NASP",-5.21102107544687
"SCO2",-5.20428649088815
"INTS6",-5.20297648983201
"SRP14",-5.20054633270887
"RPS10",5.19926071411421
"BNIP3",5.19899248405593
"LPAR6",5.19693771565136
"TRIM22",-5.19590106662856
"HELZ2",-5.19477339299907
"PTPRC",5.17901549979543
"CCDC109B",-5.17256492961681
"CMC1",-5.1627250137003
"C6orf47",-5.15313536500117
"ZMPSTE24",-5.14728104702353
"CCSER2",-5.13507690201157
"MAGOH",-5.12268167293573
"HSPH1",-5.11257014211363
"NUB1",-5.11077631488165
"TNFSF12",-5.10161984381589
"YIPF5",-5.09073877659428
"HILPDA",5.08947298660052
"FABP5",-5.0784441248946
"AHSA1",-5.05637527112056
"CARD19",-5.04882065295801
"FKBP1B",-5.04030338146711
"PDAP1",-5.03470494280322
"TRIM38",-5.03189480930612
"HAGH",-5.02702901572614
"CCAR1",-5.02025150847339
"ZFR",-5.01055582061263
"GPR183",-5.00225906588325
"PNP",-5.00198698351356
"HLA-F",-4.9988968148017
"CCNI",4.98940328178641
"CUL1",-4.98070400830071
"ECE1",-4.97797780525977
"ATP5B",-4.95474926394582
"C4orf48",-4.95248436409624
"CTNNA1",-4.95146864046548
"ODF3B",-4.94364156059305
"COMT",-4.93138411745079
"SLC38A5",-4.92017140324353
"PCBP1",-4.89911747401824
"TSPAN3",-4.86090242349536
"SMIM12",-4.85385960131367
"UBE2N",-4.84940318159734
"TRIM26",-4.84481860446656
"FAAP20",-4.84084899667848
"C19orf43",-4.8400927470514
"BECN1",-4.83872538746378
"MCTS1",-4.83624150790527
"ATP2C1",-4.83244369388821
"NAPSA",-4.82397769033935
"RPP30",-4.82275425583747
"MAP4K2",-4.81407175214234
"CTSA",-4.81062470847025
"CD2",-4.80347914518725
"IFIT5",-4.80307355971612
"APOL1",-4.79386884762642
"TTC7A",-4.79312462086383
"HNRNPA0",-4.79218791551805
"HDDC2",-4.79175299842788
"SMARCE1",-4.78744368543359
"ZNF598",-4.78714247739484
"PLAUR",-4.78043779008386
"CCL5",-4.77799522371351
"HNRNPU",-4.77797175278253
"PTPN1",-4.77519857566579
"TNIP2",-4.77403485702633
"AAED1",-4.77292505573979
"RMI2",-4.76932389278598
"PI4K2B",-4.76422207530329
"CCT2",-4.76305437070779
"IDS",-4.7515800767029
"ADSS",-4.74227137842405
"DEAF1",-4.74001824827603
"UCHL3",-4.73698356054938
