"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.000415097565556041,-0.182870058073409,0.945,0.964,1,"Th2","CAP1"
0.000420773739371149,-0.263274749788876,0.648,0.723,1,"Th2","TNIP2"
0.000421457268766014,-0.475473951194271,0.766,0.837,1,"Th2","TRBC2"
0.000422897818214351,-0.21800897749107,0.324,0.463,1,"Th2","MAP3K8"
0.000424382463010247,-0.114107968232414,0.083,0.204,1,"Th2","TDRD7"
0.000424383615583815,0.101963555647968,0.379,0.234,1,"Th2","CARNMT1"
0.000425537592057878,0.16938131956786,0.855,0.719,1,"Th2","AKAP9"
0.000432436263575449,0.226998107835793,0.966,0.906,1,"Th2","NAP1L4"
0.000434182638761662,-0.185731176432409,0.421,0.559,1,"Th2","PARP10"
0.000436232438969615,0.153636649118648,0.917,0.823,1,"Th2","CANX"
0.000446186208934234,0.175967662523075,0.434,0.297,1,"Th2","SLC39A10"
0.000446786882735333,-0.198768208763138,0.552,0.678,1,"Th2","C4orf48"
0.000451515667409198,-0.187211013248045,0.152,0.282,1,"Th2","TGIF1"
0.000463978290223343,-0.212048927292371,0.455,0.584,1,"Th2","ADPRHL2"
0.000464481189140908,-0.26262782659899,0.745,0.77,1,"Th2","ABI1"
0.00046610447123192,0.14517170745148,0.648,0.474,1,"Th2","PRDM2"
0.000470778039393054,-0.199781881616307,0.483,0.613,1,"Th2","DERL2"
0.00047732887112477,-0.225688512811809,0.131,0.257,1,"Th2","ADGRE1"
0.000481917660073277,0.122028304419056,0.607,0.443,1,"Th2","KCMF1"
0.000485035717857194,-0.142092841016644,0.097,0.226,1,"Th2","LSR"
0.000487552845695734,-0.212972474789926,0.317,0.456,1,"Th2","PGAP1"
0.000488679852890647,-0.264479898542538,0.717,0.765,1,"Th2","PRDX4"
0.000488990127332835,0.239185233329846,0.834,0.726,1,"Th2","SNHG8"
0.000491492567227927,0.198575538421763,0.731,0.611,1,"Th2","EBPL"
0.000495909656586869,0.113495892699922,0.621,0.454,1,"Th2","UBR5"
0.00050268167813349,0.106217153783066,0.345,0.211,1,"Th2","MMP25-AS1"
0.000503039928447615,-0.200655348409498,0.545,0.661,1,"Th2","RBM42"
0.000503521734527536,-0.24503015901597,0.483,0.577,1,"Th2","METTL13"
0.000509466749031453,-0.404648043500231,0.607,0.664,1,"Th2","GK"
0.000522154023571327,-0.222596168864014,0.8,0.878,1,"Th2","GABARAPL2"
0.000528196168752192,-0.200555502840719,0.903,0.919,1,"Th2","VAMP8"
0.000529627293447153,-0.191067986862466,0.483,0.613,1,"Th2","PEF1"
0.000531429628149171,-0.167225684024759,0.345,0.471,1,"Th2","SCAMP3"
0.000531555919254381,0.18956874754798,0.979,0.933,1,"Th2","ST13"
0.000533836077250161,0.197887938919241,0.993,0.999,1,"Th2","RPS26"
0.000543904465520367,0.197339006775017,0.338,0.206,1,"Th2","TBC1D4"
