"","group_Th17","group_Th0","group_iTreg","group_Th2"
"MVP",0.146548049342673,-0.399854458159392,0.371975800871694,-0.395219270567063
"FUS",0.11071708989419,-0.373997899681223,0.266300460052196,-0.136716159883516
"UBB",0.105832989491359,-0.328049697586779,0.330286611208549,-0.333995335741101
"TAP1",0.121895656593946,-0.323034466660856,0.313271334507217,-0.334948506569748
"SQRDL",0.168026839071193,-0.393834414703966,0.421408204213689,-0.573804220302335
"RPS15",-0.11684289142893,0.179821569243082,-0.184118349812073,0.116587158235252
"RPL38",-0.145984638948867,0.217618839418475,-0.23458640953698,0.269207705579524
"SMAD3",NA,0.191300725105111,-0.144356193321536,NA
"ANXA4",0.182916341834603,-0.316625463670826,0.279525565233351,-0.390507274756982
"CLEC2B",-0.136696905914571,0.354908079934996,-0.254607649253335,NA
"HSF4",NA,0.228158888787379,NA,NA
"VAMP5",0.146172668007739,-0.407359354485348,0.305539862193906,-0.233973087898483
"DNAJA1",NA,-0.403126791467428,0.487962660860255,-0.469427840561008
"CD48",-0.225618449642257,0.340556614999764,-0.198408815111996,0.134812787864053
"CAPN2",0.190388461958992,-0.389077699339297,0.26217203564066,-0.251932141384228
"HSP90AA1",0.101243474775452,-0.360559149816679,0.245192808728471,NA
"CMPK2",0.120586791280226,-0.370147948391362,0.380561430723087,-0.411236902543764
"SLC1A4",NA,-0.241952707576792,0.201617951491468,NA
"HERC6",NA,-0.294333017000603,0.273539815893321,-0.172877114862589
"ADAM19",0.267677860109108,-0.343800579366225,0.275245034928585,-0.515404381849542
"NAGK",NA,-0.240228785456325,0.197788806412472,-0.168435356366703
"MT-ND6",0.145111001422785,-0.388208772245642,0.205493908801925,NA
"EIF2AK2",0.113374014725993,-0.353668165524099,0.33639974907812,-0.321496246769666
"RDX",NA,-0.359613656665168,0.428642977266786,-0.49478606412922
"MGST3",0.160948291752326,-0.473861587177439,0.103040977247089,0.20774501310732
"GLTSCR2",-0.11827888844051,0.259740601927466,-0.331723907310935,0.312191023118914
"PSMA7",0.169527735109684,-0.292542145429934,0.171774160574222,-0.170149129346453
"HAGHL",0.135136970746045,-0.260405882213764,0.207894741274466,-0.230512109649038
"MT2A",0.261719874927721,-0.870205456223561,0.660386699288212,-0.653418994069595
"POMP",NA,-0.272542296253221,0.259714444155951,-0.242795042352928
"DDX60",0.16290231878751,-0.364571172274594,0.431211412217162,-0.35171949761336
